Artist_ID,Nama_Artis,Primary_Genre
ART-9EC3D71B,Oden & Fatzo,Indie / Alternative
ART-A072C9D9,Garefowl,Indie / Alternative
ART-8237D94B,SC-ONE Official,Indie / Alternative
ART-F22794F6,Various,Indie / Alternative
ART-BAE7C793,wint,Indie / Alternative
ART-7401C1F2,Javier Marimon,Indie / Alternative
ART-7A927349,Jaymie Silk,Indie / Alternative
ART-0486C50B,Various Artists,Indie / Alternative
ART-963C9BC5,Pé,Indie / Alternative
ART-349DA9D2,Necrot,Indie / Alternative
ART-DC07AC4D,Spirit Shifter & Woobler,Indie / Alternative
ART-7230EA46,追憶サーキット,Indie / Alternative
ART-4C614198,Voida,Indie / Alternative
ART-89806A1D,Alfa Mist,Indie / Alternative
ART-942FAEEB,Aristide,Indie / Alternative
ART-93B90736,Fky,Indie / Alternative
ART-178EA9D4,Telephones,Indie / Alternative
ART-FFFD84C9,Emmy The Great,Indie / Alternative
ART-26EB33DF,Suit of Lights,Indie / Alternative
ART-2068511C,Khruangbin,Indie / Alternative
ART-0B1E7871,Karkhana,Indie / Alternative
ART-58CBF2EE,ПЛАМЕНЬ (PLAMEN),Indie / Alternative
ART-EBB7FDBA,Simon Posford,Indie / Alternative
ART-64C57997,Contours & Yadava,Indie / Alternative
ART-6F6A28DE,Homicid Records,Indie / Alternative
ART-AD69E052,Turbo Knight,Indie / Alternative
ART-A940DE94,Technopsis,Indie / Alternative
ART-43A301C2,VIQ,Indie / Alternative
ART-07CD6E6D,Mephiskapheles,Indie / Alternative
ART-83F45D01,Sergeant Thunderhoof,Indie / Alternative
ART-DFB625D7,Paskal & Urban Absolutes,Indie / Alternative
ART-019AE7EC,Mungo's Hi Fi x Marina P,Indie / Alternative
ART-F21C2E07,Krosia,Indie / Alternative
ART-A00E8F7F,Renata Zeiguer,Indie / Alternative
ART-D74BD0B0,TFS,Indie / Alternative
ART-AFA882AC,Durbatuluk,Indie / Alternative
ART-C8243B04,Bellows,Indie / Alternative
ART-CDADC358,Luke Sanger,Indie / Alternative
ART-547594EB,BADBADNOTGOOD,Indie / Alternative
ART-0AF3F923,Jay Diggs,Indie / Alternative
ART-7B01289C,Haunt,Indie / Alternative
ART-C9D09457,Neurosis,Indie / Alternative
ART-35FC5629,Bad Time Records,Indie / Alternative
ART-5C05B61F,Ellenor Vora,Indie / Alternative
ART-06A2ADBA,T++,Indie / Alternative
ART-7AF7CEAC,Black Valley,Indie / Alternative
ART-067852DE,Vonder,Indie / Alternative
ART-191F4DDB,Mansur Brown,Indie / Alternative
ART-6F0BEE0A,Dengue Dengue Dengue,Indie / Alternative
ART-70A431E2,Palissade,Indie / Alternative
ART-FF09D6EE,Bitcevsky park,Indie / Alternative
ART-51DE5514,Ut,Indie / Alternative
ART-A43C8284,HTRK,Indie / Alternative
ART-ACF4D43D,Claus Comedi,Indie / Alternative
ART-2A1D334B,Ociya,Indie / Alternative
ART-C987224B,Black Marble,Indie / Alternative
ART-9D2D762A,Curt Kennedy,Indie / Alternative
ART-45349265,Tom Moulton,Indie / Alternative
ART-5F4D44EF,Sólveig Matthildur,Indie / Alternative
ART-7ABF5E27,Oracle Bones,Indie / Alternative
ART-BC7BB6B8,catbeats,Indie / Alternative
ART-F04FAF80,War On Women,Indie / Alternative
ART-03B68C66,Ugress,Indie / Alternative
ART-B0627198,The Star Killers,Indie / Alternative
